Year,American Homes 4 Rent,Progress Residential,Amherst (Main Street Renewal),Invitation Homes,My Community Homes (KKR),FirstKey Homes,Other
2010,0,0,0,0,0,0,62
2011,0,0,0,0,0,0,345
2012,20,0,0,0,0,0,101
2013,4,1,0,0,0,0,228
2014,145,0,0,0,0,0,244
2015,50,0,0,0,0,0,304
2016,17,0,14,0,0,0,308
2017,44,66,1,0,0,0,289
2018,93,218,3,0,0,0,357
2019,201,207,52,2,0,0,518
2020,442,58,88,77,0,0,496
2021,38,130,52,35,11,26,976
2022,11,91,104,110,61,31,738
2023,0,59,83,34,0,3,634
2024,1,38,83,25,0,0,544
2025,0,9,148,1,0,1,725
2026,0,3,56,0,1,0,235
