deal,depositor,cik,form,date,accession,filing_index
American Homes 4 Rent 2015-SFR2,"American Homes 4 Rent Asset, LLC",1652227,ABS-15G,2015-09-01,0001104659-15-063074,https://www.sec.gov/Archives/edgar/data/1652227/000110465915063074/
Bridge 2022-SFR1,Bridge SFR IV Depositor LLC,1927300,ABS-15G,2022-11-01,0001213900-22-068097,https://www.sec.gov/Archives/edgar/data/1927300/000121390022068097/
Bridge 2024-SFR1,Bridge SFR IV Depositor LLC,1927300,ABS-15G,2024-07-12,0001539497-24-001411,https://www.sec.gov/Archives/edgar/data/1927300/000153949724001411/
FirstKey Homes 2020-SFR1,"FKH SFR Depositor, LLC",1818422,ABS-15G,2020-07-22,0001818422-20-000001,https://www.sec.gov/Archives/edgar/data/1818422/000181842220000001/
FirstKey Homes 2020-SFR2,"FKH SFR Depositor, LLC",1818422,ABS-15G,2020-09-25,0000943663-20-000229,https://www.sec.gov/Archives/edgar/data/1818422/000094366320000229/
FirstKey Homes 2021-SFR1,"FKH SFR Depositor, LLC",1818422,ABS-15G,2021-06-22,0000894579-21-000153,https://www.sec.gov/Archives/edgar/data/1818422/000089457921000153/
FirstKey Homes 2021-SFR2,"FKH SFR Depositor, LLC",1818422,ABS-15G,2021-08-03,0000894579-21-000163,https://www.sec.gov/Archives/edgar/data/1818422/000089457921000163/
FirstKey Homes 2021-SFR3,"FKH SFR Depositor, LLC",1818422,ABS-15G,2021-11-09,0000894579-21-000213,https://www.sec.gov/Archives/edgar/data/1818422/000089457921000213/
FirstKey Homes 2022-SFR1,"FKH SFR Depositor, LLC",1818422,ABS-15G,2022-03-25,0000894579-22-000139,https://www.sec.gov/Archives/edgar/data/1818422/000089457922000139/
FirstKey Homes 2022-SFR2,"FKH SFR Depositor, LLC",1818422,ABS-15G,2022-06-06,0000894579-22-000159,https://www.sec.gov/Archives/edgar/data/1818422/000089457922000159/
FirstKey Homes 2022-SFR3,"FKH SFR Depositor, LLC",1818422,ABS-15G,2022-09-29,0000894579-22-000188,https://www.sec.gov/Archives/edgar/data/1818422/000089457922000188/
FirstKey Homes 2022-SFRA,"RM1 SFR Depositor, LLC",1911339,ABS-15G,2022-02-16,0000894579-22-000127,https://www.sec.gov/Archives/edgar/data/1911339/000089457922000127/
Progress Residential 2021-SFR3,"Progress Residential Depositor, LLC",1625909,ABS-15G,2021-04-01,0001539497-21-000424,https://www.sec.gov/Archives/edgar/data/1625909/000153949721000424/
Progress Residential 2021-SFR5,"True North Depositor 1, LLC",1865478,ABS-15G,2021-06-03,0001539497-21-000776,https://www.sec.gov/Archives/edgar/data/1865478/000153949721000776/
Progress Residential 2021-SFR6,"Progress Residential Depositor 2, LLC",1729058,ABS-15G,2021-06-17,0001539497-21-000880,https://www.sec.gov/Archives/edgar/data/1729058/000153949721000880/
Progress Residential 2021-SFR8,"Progress Residential Depositor, LLC",1625909,ABS-15G,2021-08-11,0001539497-21-001206,https://www.sec.gov/Archives/edgar/data/1625909/000153949721001206/
Progress Residential 2021-SFR10,"Midway Depositor 1, LLC",1848387,ABS-15G,2021-11-09,0001539497-21-001745,https://www.sec.gov/Archives/edgar/data/1848387/000153949721001745/
Progress Residential 2021-SFR11,"Olympus Depositor 1, LLC",1896015,ABS-15G,2021-12-08,0001539497-21-002034,https://www.sec.gov/Archives/edgar/data/1896015/000153949721002034/
Progress Residential 2022-SFR1,"Progress Residential Depositor 2, LLC",1729058,ABS-15G,2022-01-19,0001539497-22-000103,https://www.sec.gov/Archives/edgar/data/1729058/000153949722000103/
Progress Residential 2022-SFR2,"True North Depositor 1, LLC",1865478,ABS-15G,2022-03-02,0001539497-22-000552,https://www.sec.gov/Archives/edgar/data/1865478/000153949722000552/
Progress Residential 2022-SFR3,"Progress Residential Depositor, LLC",1625909,ABS-15G,2022-03-24,0001539497-22-000689,https://www.sec.gov/Archives/edgar/data/1625909/000153949722000689/
Progress Residential 2022-SFR4,"Progress Residential Depositor 3, LLC",1855145,ABS-15G,2022-04-12,0001539497-22-000806,https://www.sec.gov/Archives/edgar/data/1855145/000153949722000806/
Progress Residential 2022-SFR5,"Progress Residential Depositor 5, LLC",1930495,ABS-15G,2022-06-03,0001539497-22-001129,https://www.sec.gov/Archives/edgar/data/1930495/000153949722001129/
Progress Residential 2022-SFR6,"Progress Residential Depositor 3, LLC",1855145,ABS-15G,2022-07-11,0001539497-22-001259,https://www.sec.gov/Archives/edgar/data/1855145/000153949722001259/
Progress Residential 2022-SFR7,"Progress Residential Depositor 7, LLC",1943589,ABS-15G,2022-09-07,0001539497-22-001512,https://www.sec.gov/Archives/edgar/data/1943589/000153949722001512/
Progress Residential 2023-SFR1,"Progress Residential Depositor 8, LLC",1947608,ABS-15G/A,2023-02-02,0001539497-23-000117,https://www.sec.gov/Archives/edgar/data/1947608/000153949723000117/
Progress Residential 2023-SFR2,"True North Depositor 1, LLC",1865478,ABS-15G,2023-09-12,0001539497-23-001571,https://www.sec.gov/Archives/edgar/data/1865478/000153949723001571/
Progress Residential 2024-SFR3,"Progress Residential Depositor, LLC",1625909,ABS-15G,2024-05-03,0001539497-24-000942,https://www.sec.gov/Archives/edgar/data/1625909/000153949724000942/
Progress Residential 2024-SFR5,NOT FOUND,,,,,
Progress Residential 2025-SFR3,"PR ARC Depositor 1, LLC",2052000,ABS-15G,2025-03-28,0001539497-25-001076,https://www.sec.gov/Archives/edgar/data/2052000/000153949725001076/
STAR 2022-SFR3,"STAR SFR Depositor II, L.P.",1905985,ABS-15G,2022-03-21,0001539497-22-000660,https://www.sec.gov/Archives/edgar/data/1905985/000153949722000660/
STAR 2024-SFR4,NOT FOUND,,,,,
STAR 2025-SFR6,"STAR Depositor SFR VI, L.P.",2071723,ABS-15G,2025-07-09,0001539497-25-001794,https://www.sec.gov/Archives/edgar/data/2071723/000153949725001794/
Tricon American Homes 2018-SFR1,TAH 2018-1 DEPOSITOR LLC,1732758,ABS-15G,2018-03-28,0000905148-18-000389,https://www.sec.gov/Archives/edgar/data/1732758/000090514818000389/
Tricon American Homes 2019-SFR1,SFR JV-1 2019-1 Depositor LLC,1784924,ABS-15G,2019-09-06,0000905148-19-000847,https://www.sec.gov/Archives/edgar/data/1784924/000090514819000847/
Tricon American Homes 2020-SFR1,SFR JV-1 2020-1 DEPOSITOR LLC,1804024,ABS-15G,2020-06-30,0000905148-20-000740,https://www.sec.gov/Archives/edgar/data/1804024/000090514820000740/
Tricon Residential 2022-SFR1,SFR JV-2 2022-1 Depositor LLC,1909233,ABS-15G,2022-03-16,0000905148-22-000298,https://www.sec.gov/Archives/edgar/data/1909233/000090514822000298/
Tricon Residential 2022-SFR2,SFR JV-2 2022-2 Depositor LLC,1928214,ABS-15G,2022-06-08,0000905148-22-000413,https://www.sec.gov/Archives/edgar/data/1928214/000090514822000413/
Tricon Residential 2023-SFR1,SFR JV-2 2023-1 Depositor LLC,1975534,ABS-15G,2023-06-08,0001539497-23-001075,https://www.sec.gov/Archives/edgar/data/1975534/000153949723001075/
Tricon Residential 2023-SFR2,Tricon SFR 2023-2 Depositor LLC,1997329,ABS-15G,2023-11-07,0001539497-23-001846,https://www.sec.gov/Archives/edgar/data/1997329/000153949723001846/
Tricon Residential 2024-SFR3,"Progress Residential Depositor, LLC",1625909,ABS-15G,2024-05-03,0001539497-24-000942,https://www.sec.gov/Archives/edgar/data/1625909/000153949724000942/
Tricon Residential 2025-SFR1,Tricon SFR 2025-1 Depositor LLC,2053466,ABS-15G,2025-02-10,0001539497-25-000443,https://www.sec.gov/Archives/edgar/data/2053466/000153949725000443/
